shadjamam|షడ్జమం  
Spencer Venugopal|స్పెన్సర్ వేణుగోపాల్ 
Raghavendra Tirtha|రాఘవేంద్ర తీర్థ
Swathi Thirunal Rama Varma|స్వాతి తిరునాళ్ రామ వర్మ
Muthuswami Dikshitar|ముత్తుస్వామి దీక్షితర్ 
Ogirala Veeraraaghava Sharma|ఓగిరాల వీరరాఘవ శర్మ
Padma Veeraraghavan|పద్మ వీరరాఘవన్
Dayananda Saraswati|దయానంద సరస్వతి
Kavi Kunjara Bharati|కవి కుంజర భారతి
Kamalesha vitthaladaasa|కమలేశ విత్తలదాస 
Vyasatirtha|వ్యాసతీర్థ
Tirupati naaraayanaswaami|తిరుపతి నారాయణస్వామి
C. Rajagopalachari|సి. రాజగోపాలాచారి
Neela Ramamurthy|నీలా రామమూర్తి 
Tanjavur Sankara Iyer|తంజావుర్ శంకర ఐయెర్ 
Krishnaswami Ayya|కృష్ణస్వామి అయ్య 
Kshetrayya|క్షేత్రయ్య 
Veene Sheshanna|వీనె శేషన్న 
Viswanatha Sastri|విశ్వనాథ శాస్త్రి 
Aandaal tiruppaavai|ఆండాళ్ తిరుప్పావై 
72 melaraagamaalika (pranataartihara prabho)|72 మేలరాగమాలిక   (ప్రణతార్తిహర ప్రభో)
A Balagopalamu-varnam|ఆ  బాలగోపాలము-వర్ణం
Aa daya shree|ఆ దయ శ్రీ 
Aadaadu ashangaadu vaa|ఆడాడు అశాంగాడు వా 
Aadamodi galade|ఆడమోడి  గలదె
Aadavaara mella goodi|ఆడవార మెల్ల గూడి
Aadidum muruganai|ఆదిదుం మురుగనై
Aadikkondaar anda|అదిక్కొండార్ అండ
Aadina aravinda|ఆడిన అరవింద
Aadinaiye kannaa|ఆడినైయే కన్నా
Aadityam|ఆదిత్యం 
Aadum cidambaramo|ఆడుం చిదంబరమో
Aaduvome pallu paaduvome|ఆడువోమే పల్లు పాడువోమే 
Aakati velala|ఆకటి వెలల 
Aalaava-dennaalo (periya puraana keertanai)|ఆలావ -దేన్నల్లో  (పెరియ పురాణ కీర్తనై)
Aalalaagaadaa|ఆలలాగాడా 
Aalola tulasi|ఆలోల తులసీ
Aanai mukhattone|ఆణై ముఖ్తతోనే 
Aananda Nartana Ganapatim|ఆనంద నర్తన గణపతిం
Aananda nartana ganapatim|ఆనంద నర్తన గణపతిం
Aananda natam aaduvaar|ఆనంద నాటం ఆడువార్
Aananda natana prakaasam|ఆనంద నటన ప్రకాశం
Aananda natanam|ఆనంద నటనం
Aananda poorna|ఆనంద పూర్ణ
Aananda saagara|ఆనంద సాగర
Aanandaamruta|ఆనందామృత
Aanandamaana|ఆనందమాన
Aanandamaanandamaayenu|ఆనందమానందమాయెను
Aanandamaya manave|ఆనందమయ మనవే
Aanandame paramaanandame|ఆనందమే పరమానందమే
Aanandarupam|ఆనందరూపం
Aandaal kalyaanam (minnal kodiyo)|ఆండాల్  కల్యాణం (మిన్నల్ కొడీయో)
Aandavan darishaname|ఆందవన్ దరిశనమే 
Aanjaneyam sadaa (note)|ఆంజనేయం సదా (స్వరం)
Aaraar aasai|ఆరార్ ఆసై 
Aaragimpave|ఆరగింపవే 
Aaro vandennai|ఆరో వందేన్నై
Aarukkum adangaada|ఆరుక్కుమ్ అదంగాడ 
Aarumo aaval|ఆరుమో ఆవల్
Aaryaadevee|ఆర్యాదేవీ 
Aashai konden|ఆశై కొండెన్ 
Aashai mukham marandu|ఆశై ముఖం మరందు
Aayar paadi kannaa|ఆయర్ పాడి కన్నా 
Abayaambikaaramani|అభయాంబికారమణి
Abhaya Varade Sharade|అభయ వరదే శారదే 
Abhaya karam|అభయ కరం 
Abhaya karattai|అభయ కరత్తై 
Abhayamba Jagadamba|అభయంబ  జగదంబ 
Abhayamba Nayaka Varadayaka|అభయంబ నాయక వరదాయక 
Abhayambayam Bhaktim|అభయంబయం భక్తిమ్ 
Abhayambikaya Abhayambikaya|అభయంబికాయ అభయంబికాయ
Abhayambikayaha Anyam|అభయంబికాయహ అన్యం 
Abhayambikayai Ashvarudhayai|అభయంబికాయై అశ్వరూధయై 
Abheeshhta varada|అభీష్ట వరద 
Abhimaanamennadu galguraa|అభిమానమెన్నడు గల్గురా 
Abhimaanamu ledimi|అభిమానము లేదిమి 
Abhimanamennadu Galgu|అభిమానమెన్నడు గల్గు
Abhimanamennadu Galgura|అభిమానమెన్నడు  గల్గుర 
Abhimanamuto Nannu|అభిమానముతో నన్ను
Abhisekam Kondarulinar|అభిసేకం కొందరులినర్ 
Abhista Varada Shri|అభిష్ట వరద శ్రీ 
Adaikkalam adaikkalam|ఆడైక్కలం  ఆడైక్కలం 
Adamodi Galade Ramayya|అదమోడీ  గలదె రామయ్య 
Adanuril Oru Vediyar|అదనురిల్ ఒరు వేడియర్ 
Adaya Shri Raghuvara|ఆదయ శ్రీ రఘువర
Adi Nipai Marulu|అది నీపై మరులు
Adi kaadu bhajana|అది కాదు భజన
Adi neepai marulu (jaavali)|ఆది నీవై మరులు (జావళి)
Adigi sukhamu|అడిగి సుఖము
Adikaadu Bhajana Manasa|ఆదికాదు భజన మనస 
Adimaralinaiyallaal|ఆదిమరాలినైయల్లాల్ 
Adinaiye Kanna|ఆదినైయే కన్నా 
Adivo alladivo|అదివో అల్లదివో
Adiya Pada Darishanam|ఆదియ పద దరిశనం 
Adiya Padattai|అదియ పదత్తై 
Adiya Padattait Tarum|అదియ పదత్తైత్ తరుమ్ 
Adrisutavara|అద్రిసుతవర 
Adugu daati|అడుగు దాటి
Adum Cidambaramo|ఆడుం చిదంబరమో 
Adum Deivam|ఆడుం దైవం
Adum Varai Avar Adattum|ఆడుం  వరై ఆవర్ అదత్తుం 
Agaramumaagi (tiruppugazh)|అగరముమాగి  (తిరుప్పుగస్హ్)
Agastishvaram Aradhayeham|అగస్తీశ్వరం ఆరాధయేహం 
Ainkarane Omkara|ఐంకరనె  ఓంకర 
Ainkaranillamal|ఐంకరనిల్లమల్
Aiyappanai Panivom|ఐయప్పనై పనివొమ్ 
Aj Aye|అజ్ అయె 
Ajam haram|అజం హారం
Akhila Devanuta|అఖిల దేవనుత
Akhilaanda naayaka|అఖిలాండ నాయక
Akhilaandeshwari|అఖిలాండేశ్వరి 
Akhilanda Nayaki|అఖిలాండ నాయకి
Akhilandeshvari Durusuga|అఖిలాండేశ్వరి దురుసుగ
Akhilandeshvari Raksamam|అఖిలాండేశ్వరి రక్షమం 
Aksaya Linga Vibho|అక్షయ లింగ విభో 
Alai Paayude|అలై పాయుదే
Alai paayude|అలై పాయుదే 
Alaiyaamal paarumayyaa|అలైయామల్ పారుమయ్యా 
Alakalalla|అలకలల్ల
Alalagada|అలలగడ 
Alarsara|అలర్సర
Alaru kuriyaga|అలరు కురియగ 
Alavani Nammarade|అలవాణి నమ్మరాదే
Alavillaiye|అలవిల్లైయె
Aliveni|అలివేణి
Aliveni Enduceyyum|అలివేణి ఎందుచేయ్యుమ్ 
Allakallolamayenamma|అల్లకల్లోలమయేనమ్మ 
Amaaya karunaa|అమాయ కరుణా 
Amarikapari (geetam)|అమరికపరి (గీతం)
Amba Mahavani|అంబ మహావాణి 
Amba Mamava|అంబ మమవ 
Amba Manam|అంబ మనం
Amba Nadu Vinnapamu|అంబ నాడు విన్నపము 
Amba Nilayataksi|అంబ నిలయతాక్షి 
Amba Paradevate|అంబ పరదేవతే 
Amba Sarasvati|అంబ సరస్వతి 
Amba Shri Rajarajeshvari|అంబ శ్రీ రాజరాజేశ్వరి 
Amba Vani Nannu|అంబ వని  నన్ను 
Amba naadu|అంబ నాడు 
Amba neelaambari|అంబ నీలాంబరి 
Ambaa alankaari|అంబా అలంకారి 
Ambaa mahaavaani|అంబా మహావాణి 
Ambaa vaani|అంబా వాని 
Ambikam Upaseham|అంబికం ఉపసేహం 
Ambike Arul Shei|అంబికె అరుల్ షై
Amboruha Padame|అంబోరుహ పదమే
Amboruha Padame-varnam|అంబోరుహ పదమే -వర్ణం
Amboruha paadame|ఆంబోరుహ పాదమే
Amboruha paadame (varnam)|అంబోరుహ పాదమే  (వర్ణం)
Amma Ananda-varnam|అమ్మ ఆనంద-వర్ణం
Amma Nannubrovave|అమ్మ నన్నుబ్రొవవె 
Amma Ninnu Korina|అమ్మ నిన్ను కోరిన 
Amma Ravamma Tulasamma|అమ్మ రావమ్మ తులసమ్మ 
Amma dharma samvardhani|అమ్మ ధర్మ సంవర్ధని
Amma nannubrovave|అమ్మ నన్నుబ్రొవవె 
Amma raavamma|అమ్మ రావమ్మ 
Ammaa unnaiye|అమ్మా ఉన్నైయె 
Anaatharakshhaka|అనాథరక్షహక 
Anaathudanu gaanu|అనాథుడను గాను 
Anagha shambho|అనఘ శంభో 
Anagham akhilaanda|అనఘం అఖిలాండ 
Anajaksa Ninne Nammiti|అనజాక్స నిన్నె నమ్మితి 
Ananda Natam Aduvar|ఆనంద నటమ అడువర్ 
Ananda Natana Prakasham|ఆనంద నటన ప్రకాశం 
Ananda Sagaramidani|ఆనంద సాగరమీదని
Anandabhairavi Anaiyum|ఆనందభైరవి అనైయుమ్ 
Anandak Kuttadinar Ambalam|ఆనందక్ కుట్టదినార్  అంబలం 
Anandamaya Manave|ఆనందమయ  మనవె 
Anandame Paramanandame|ఆనందమే పరమానందమే
Anandamrtakarsini Amrtavarsani|ఆనందామృతాకర్షిణి  అమృతవర్షిణి
Anandavalli Kuru|ఆనందవల్లి కురు
Anandeshvarena Samraksitoham|ఆనన్దేశ్వరేన సంరక్షితోహం
Ananta padmanaabham|అనంత పద్మనాభం 
Anatharakshhaka|అన్తరాక్షహక 
Anathudanu Ganu Rama|అనాథుడను  గను  రామ
Anbilaiye|అంబిలైయే 
Anbirundaale podum|అంబిరుండాలె పోదుమ్ 
Anbon Annaiye|అంబోన్ అన్నైయే 
Anbon annaiye|అంబోన్ అన్నైయే
Anbu Kondennai|అంబు  కొండెన్నై 
Anbu varam|అంబు వరం
Anbu vellame|అంబు వెల్లమే
Anda Rama Saundaryam|అంద రామ సౌందర్యం
Andaal kalyaanam|ఆండాల్  కల్యాణం 
Andarulvai|ఆందారులవై 
Andavan Anbe Shakti|ఆండవన్ అంబే శక్తి 
Andavan Darishaname|ఆండవన్ దరిశనమే
Andavane Sharanam|ఆండవనే శరణం
Andavane Unai|ఆండవనే ఉనై 
Andhakaasura|అంధకాసుర 
Andolikavahane|ఆందోళికావాహనే 
Andundaka ne vega|అందుండక నే వేగ 
Aneeshvaram|అనీశ్వరం 
Anekaathmane|అనేకాత్మనే 
Angaaraka mangala|అంగారక మంగళ
Angarakam Ashrayami|అంగారకం ఆశ్రయమి 
Angayarkkanni Niye--varnam|అంగయార్కన్ని నియె--వర్ణం
Anjaade nenjame|అంజాదె నెంజమే
Anjade Nenjame|అంజదె నెంజమే
Anjalaamo nenje|అంజలామొ  నేన్జె 
Anjaneya|ఆంజనేయ 
Anjezhuttinai nenjile|ఆంజేజ్హుత్తినై  నెంజిలె 
Annaamalai appane|అన్నామలై అప్పనే
Annai Janaki|అన్నై జనకి 
Annai maakaali|అన్నై మాకాలి 
Annapoorne vishaalaakshi|అన్నపూర్ణే  విశాలాక్షి 
Annapoorneshwari|అన్నపూర్ణేశ్వరి
Annapurne Vishalaksi|అన్నపూర్ణే  విశాలాక్షి 
Annapurneshvari Akhileshvari|అన్నపూర్ణేశ్వరి అఖిలేశ్వరి
Antaa raamamayam|అంతా రామమయం
Antaranga Bhakti|అంతరంగ భక్తి
Antaranga bhakti|అంతరంగ భక్తి
Antari Sundari|అంతరి సుందరి
Anudinamunu Kavumayya|అనుదినమును కవుమయ్య 
Anudinamunu kaavumayya|అనుదినమును కావుమయ్య  
Anupama Gunambudhi Yani|అనుపమ గుణంబుధి యని 
Anupama gunaambudhi|అనుపమ గుణాంబుధి
Anuraagamule|అనురాగములే
Anuragamuleni Manasuna|అనురాగములేని మనసున
Anyaayamu seyakuraa|అన్యాయము సేయకురా
Anyayamu Seyukura Rama|అన్యాయము సేయకురా రామ 
Apadooruku lonaitine (jaavali)|అపదూరుకు  లోనైతినే (జావళి)
Aparaadhamula norva|అపరాధముల నొర్వ 
Aparaadhamulamaanpi|అపరాధములమాన్పి 
Aparaadhamulanniyu|అపరాధములన్నియు
Aparaadhiyagu naadu|అపరాధియగు నాడు 
Aparaadi naanalla|అపరాది నాన్నల్లా 
Aparaajite|అపరాజితే
Aparadhamula Manpi Adukovayya|అపరాధముల మాన్పి ఆదుకోవయ్య 
Aparadhamulanniyu|అపరాధములన్నియు
Aparadhamulanorva Samayamu|అపరాధములనొర్వ సమయము
Aparajite Amareshanute|అపరాజితే అమరేశనుతే
Apavarga pradam|అపవర్గ ప్రదం 
Appa Murugayyane|అప్ప మురుగయ్యనే
Appa Ramabhakti Yento Goppara|అప్ప రామభక్తి యెంతో గోప్పర  
Appa Unai Maravene|అప్ప  ఉనై మరవెనే
Appa raama bhakti|అప్ప రామ భక్తి
Appaa murugayyane|అప్పా  మురుగయ్యనే
Appaa un ponnadi|అప్పా ఉన్ పొన్నది 
Appan Avataritta|అప్పన్ అవతరిత్త 
Appane|అప్పనే 
Appuleni samsaara|అప్పులేని సంసార 
Apudu Manasu|అపుడు మనసు
Apudu manasu (jaavali)|అపుడు మనసు (జావళి)
Aradhayami|ఆరధయామి 
Aragimpave Palaragimpave|ఆరగింపవే పాలారగింపవే 
Aranamum Agamum|ఆరనముమ్ అగముం  
Aravinda Padamalar|అరవింద పాదమాలర్
Ardhanarishvaram Aradhayami|అర్ధనారీశ్వరం ఆరాధయామి 
Arivar Yar Unnai| అరివర్ యర్ ఉన్నై 
Arivar Yar Unnai Arivar|అరివర్ యార్ ఉన్నై అరివర్
Arivudaiyor|అరివుడైయోర్ 
Arjuna Sarathim|అర్జున సారథిం 
Arukku Ponnambalan|అరుక్కు పొన్నాంబలన్ 
Arukkum Adangada|అరుక్కుమ్ అడంగడ 
Arukkut Tan Teriyum|ఆరుక్కుట్ తాన్  తెరియుం
Arul Puri Ainkarane|అరుల్ పురి ఐంకరనె
Arul Seyya Vendum|అరుల్ సేయ్య వెందుం
Arul paarayyaa|అరుల్ పారయ్యా
Arul purivaay|అరుల్  పురివాయ్ 
Arul seyya vendum|అరుల్ సేయ్య వెందుం
Arula Vendum|అరుల వెందుం
Arulvaay|అరుళ్వాయ్ 
Arulvai Angayarkkanniye|అరుళ్వై అంగయర్కన్నియె
Arulvay|ఆరుల్వయ్ 
Arumukha Adimaiyai|అరుముఖ అదిమైయై
Arunacala Natham Smarami|అరుణచల నాథమ్ స్మరామి
Arunodayame-varnam|ఆరునోదయమే-వర్ణం
Aruviyaippolum|అరువియైప్పోలుమ్ 
Aryadevi Amareshanute|ఆర్యదేవి అమరేషనుతే
Aryam Abhayambam Bhaja|ఆర్యం అభయంబం భజ 
Ashaindaadum Mayil|ఆశైన్దాడుం  మయిల్ 
Ashaindaadum mayil|ఆశైన్దాడుం మయిల్
Ashhtaadasha supeethastite|అష్టాదష సుపీతస్తితె
Ashtadasha Supeethastite|అష్టాదష సుపీతస్తితె
Ashtamurtim|అష్టమూర్తిం 
Atade dhanyuduraa|అతడే ధన్యుడురా
Ati sundaram|అతి సుందరం
Atishaya Vara|అతిషయ వర
Atishaya vara|అతిషయ వర
Atma Nivedanam|ఆత్మ నివేదనం 
Atta balukudu|అత్త బలుకుడు
Attaa arulillaiyo|అత్తా అరుళిల్లైయో 
Attarunam Abhayam|అత్తరుణం అభయం 
Atu Karadani Palka|అటు కారాదని పల్క
Atu kaaraadani|అటు కారాదని
Avan Seyal Anri|అవన్ సేయల్ అన్రి
Avataram Cheydiduveere|అవతారం చెయిదిడువీరే 
Avataram Enduku Ayasam|అవతారం ఎందుకు ఆయసం 
Avyaja Karuna Kataksi|అవ్యజ కరుణ కటాక్షి
Aya Kalaikkellam|అయ కలైక్కేల్లం 
Aye Giridhar|అయె  గిరిధర్
Ayiram Ayiram Gopiyargalodu|ఆయిరం ఆయిరం  గోపియర్గలోదు 
Ayya Guruvarya|అయ్యా గురువర్యా 
Ayyane Un Menmaiyai|అయ్యనే ఉన్ మేన్మైయై
Ayye Mettakkadinam|అయ్యె మెట్టక్కదినం
Azhaga Azhaga|అజ్హగ అజ్హగ
Azhagu Deivamaga Vandu|అజ్హగు  దైవమగా వందు
Baagaayanayya|బాగాయనయ్యా
Baala Sarasa|బాల సరస
Baala gopaalakrishna|బాల గోపాలకృష్ణా
Baala sarasa|బాల సరస 
Baalaa gopaala krishna|బాల గోపాల కృష్ణా
Baalalocana|బాలలోచన 
Baalasubramanyam|బాలసుబ్రమణ్యం 
Baale baalendu|బాలే బాలేందు
Baale paripaalisau|బాలే పరిపాలిసౌ
Baaro krishnayya|బారో కృష్ణయ్య 
Badalika deera|బడలిక దీరా
Badalikadira Pavvalincave|బడలికదీర పవళించవే
Bagayanayya Ni Mayalento|బాగాయనయ్య  నీ మాయలెంతో
Bagu Miraganu|బగు  మీరగను
Bala Pahi Vasudeva Devaki|బాల పాహి వాసుదేవ దేవకీ
Balagopala Palayapankajanayana|బాలగోపాల పాలయపంకజనయన
Balagopala Palayashu|బాలగోపాల పాలయషు
Balakrisnan Padamalar|బాలకృష్ణన్ పదమలర్ 
Balakrsnam Bhavayami|బాలకృష్ణం భవయామి 
Balambikayah Param|బాలబికాయహ్ పరం 
Balambikayai Namaste|బాలాంబికాయై నమస్తే
Balambike Pahi|బాలాంబికే పహి 
Balamu Kulamu Yela Ramabhakti|బలము కులము యెల  రామభక్తి
Balamu kulamu|బలము కులము
Balasubramanyam Bhajeham|బాలసుబ్రమణ్యం భజేహం 
Balasubramanyan Padame|బాలసుబ్రమన్యం పదమే
Bale Balendu Bhusani|బలే బాలెందు భుసని 
Bale Paripalisow|బలే పరిపాలిసౌ 
Balumosa mayyanuraa (daru varnam)|బాలుమోస మయ్యానురా (దరు వర్ణం)
Bandadellaa barali|బందదెల్లా  బరలి 
Bandhamu seyaraadu|బంధము సేయరాదు
Bantu reeti kolu|బంటు రీతి కొలు 
Banturiti Koluviyavayya|బంటురీతి కొలువీయవయ్య 
Bhaagyada lakshmi baarammaa|భాగ్యాద లక్ష్మి బారమ్మా 
Bhaagyavati neene hari manohari|భాగ్యావతి నీనే  హరి మనోహరి 
Bhaaramaa ee baaluni|భారమా యీ  బాలుని
Bhaaramellaam vaitten|భారమెల్లామ్  వైత్తేన్ 
Bhaaratiye|భారతియే
Bhaavaiyaami|భావైయామి 
Bhaavamulona|భావములోన
Bhaavayaami gopaalabaalam|భావయామి గోపాలబాలం
Bhaavaye parama gurum|భావయే పరమ గురుం
Bhaavaye saadaram|భావయే సాదరం 
Bhadrakaali namostute|భద్రకాళి నమోస్తుతే
Bhadrakali Namostute|భద్రకాళి నమోస్తుతే 
Bhagala Deviya|భగల  దేవియ
Bhagalaa deviya|భగలా దేవియ 
Bhagavathe rudraaya|భగవతే రుద్రాయ
Bhairavi Parameshwari|భైరవి పరమేశ్వరి
Bhairavi parameshwari|భైరవి పరమేశ్వరి
Bhaja Bhaja Manasa|భజ భజ మనస
Bhaja Madhavam Anisham|భజ మాధవం అనిషం 
Bhaja Manasa Shri Vasudevam|భజ మనస శ్రీ వాసుదేవం
Bhaja Manasa Vighneshvaram|భజ మనస విఘ్నేశ్వరం 
Bhaja Ramam Satatam|భజ రామం సతతం 
Bhaja Satatam Raghuviram|భజ సతతం రఘువీరం
Bhaja bhaja maanasa|భజ భజ మానస 
Bhaja maanasa|భజ  మానస 
Bhaja raamam satatam|భజ రామం సతతం
Bhaja re raghuveeram|భజ రే  రఘువీరమ్ 
Bhajaamyaham|భజామ్యహమ్ 
Bhajamahe Shri|భజమహె శ్రీ
Bhajami Sada|భజమి సద
Bhajana  seya raadaa|భజన సేయ రాదా
Bhajana Parulakela Dandapani Bhayamu|భజన పరులకేల దండపాణి భయము
