shadjamam|షడ్జమం 
Swathi Thirunal Rama Varma|స్వాతి తిరునాళ్ రామ వర్మ
Muthuswami Dikshitar|ముత్తుస్వామి దీక్షితార్
Ogirala Veeraraaghava Sharma|ఓగిరాల వీరరాఘవ శర్మ
Padma Veeraraghavan|పద్మ వీరరాఘవన్
Dayananda Saraswati|దయానంద సరస్వతి
Kavi Kunjara Bharati|కవి కుంజర భారతి
Kamalesha vitthaladaasa|కమలాష విఠలదాస
Vyasatirtha|వ్యతిార్థ
Tirupati naaraayanaswaami|తిరుపతి నానారయణసరస్వతీ
C. Rajagopalachari|సి. రాజగోపాలాచారి
Neela Ramamurthy|నీలా రామమూర్తి
Tanjavur Sankara Iyer|తంజావూర్ శంకర అయ్యర్
Krishnaswami Ayya|కృష్ణస్వామి అయ్యా
Kshetrayya|క్షేత్రయ్య
Veene Sheshanna|వేగీన్ శేషన్న
Viswanatha Sastri|విశ్వనాథ శాస్త్రి
Aandaal tiruppaavai|ఆందల్ తిరుప్పావై
72 melaraagamaalika (pranataartihara prabho)|72 మేళారాగమలీక (ప్రణతతరహర ప్రభో)
A Balagopalamu-varnam|ఒక బాలగోపాలము-వర్ణనము
Aa daya shree|ఆ దయ శ్రీ
Aadaadu ashangaadu vaa|ఆతడు అశ్వంగనాడు వా
Aadamodi galade|ఆటఒడి గలదె
Aadavaara mella goodi|ఆటవతార మెల్ల గూటి
Aadidum muruganai|అడిడుం మురుగనై
Aadikkondaar anda|అడిక్కొండర్ ంద
Aadina aravinda|ఆదిన అరవింద
Aadinaiye kannaa|ఆదినైయే కన్ననా
Aadityam|ఆదిత్యమ్
Aadum cidambaramo|ఆదఁ చిదంబరమో
Aaduvome pallu paaduvome|ఆటవమే పల్లె పాధువే
Aakati velala|ఆకటి వెలల
Aalaava-dennaalo (periya puraana keertanai)|ఆళవ-డెన్నాలో (పెరియా పురానా కీర్తనై)
Aalalaagaadaa|ఆళలగదాా
Aalola tulasi|ఆళోల తులసీ
Aanai mukhattone|ఆణై ముఖాత్తోనే
Aananda Nartana Ganapatim|ఆనంద నర్తనా గణపతిఁ
Aananda nartana ganapatim|ఆనంద నర్తనా గణపతిఁ
Aananda natam aaduvaar|ఆనంద నతం ఆటవువర్
Aananda natana prakaasam|ఆనంద నటన ప్రకాశసం
Aananda natanam|ఆనంద నటనం
Aananda poorna|ఆనంద పూర్ణ
Aananda saagara|ఆనంద సగార
Aanandaamruta|ఆనందామృత
Aanandamaana|ఆనందానంద
Aanandamaanandamaayenu|ఆనానందమానందమాయేను
Aanandamaya manave|ఆనందమయ మనవే
Aanandame paramaanandame|ఆనందమే పరమానందమే
Aanandarupam|ఆనందారప్పం
Aandaal kalyaanam (minnal kodiyo)|ఆందల్ కల్యాణం (మిననాల్ కొడీయో)
Aandavan darishaname|ఆందవన్ దరిశనమే
Aanjaneyam sadaa (note)|ఆంజనేయం సదా (గమనిక)
Aaraar aasai|ఆరరు ఆశై
Aaragimpave|ఆరగమింపవే
Aaro vandennai|ఆర్తో వందేన్నై
Aarukkum adangaada|ఆరుకకుఁ అడంగడ
Aarumo aaval|ఆరుమురో ఆవల్
Aaryaadevee|ార్యదేవీ
Aashai konden|ఆసాహై కొండెన్
Aashai mukham marandu|ఆసాహై ముఖ్ం మరందు
Aayar paadi kannaa|ఆయర్ పాది కన్నా
Abayaambikaaramani|అభయాంబికారమణి
Abhaya Varade Sharade|అభయ వరదే శారదే
Abhaya karam|అభయ కరమ్
Abhaya karattai|అభయ కరత్తi
Abhayamba Jagadamba|అభయంబ జగదంబా
Abhayamba Nayaka Varadayaka|అభయంబ నాయక వరదాయక
Abhayambayam Bhaktim|అభయంబాయం భక్తిమ్
Abhayambikaya Abhayambikaya|అభయంబరయ అభయంబరయ
Abhayambikayaha Anyam|అభయంబాయనమః అన్యమ్
Abhayambikayai Ashvarudhayai|అభయంబైయై అశ్వారాధాయై
Abheeshhta varada|అశేషహంత వరదా
Abhimaanamennadu galguraa|అభిమానాంనన్త గలగురహ
Abhimaanamu ledimi|అభిమానము లేదిమి
Abhimanamennadu Galgu|అభిమన్యునాఁడును గల్గు
Abhimanamennadu Galgura|అభిమన్యనానాడు గలగుర
Abhimanamuto Nannu|అభిమన్యుఁడా నన్ను
Abhisekam Kondarulinar|అభిసేకం కొండారులినార్
Abhista Varada Shri|అభిస్త వరదా శ్రీ
Adaikkalam adaikkalam|అదైక్కలం అదైకలం
Adamodi Galade Ramayya|ఆడఒడి గలదె రామయ్య
Adanuril Oru Vediyar|అడనరిల్ ఒరు వెదియార్
Adaya Shri Raghuvara|దాయ శ్రీ రఘువర
Adi Nipai Marulu|ఆది నిప్పై మరులు
Adi kaadu bhajana|ఆది కాదు భజన
Adi neepai marulu (jaavali)|ఆది నీవై మరులు (జావళి)
Adigi sukhamu|అడిగి సుఖము
Adikaadu Bhajana Manasa|ఆదకదు భజన మానస
Adimaralinaiyallaal|అడిమారాలినైల్లాళ్
Adinaiye Kanna|ఆదిరైయే కన్యా
Adivo alladivo|అవివో అల్లదివో
Adiya Pada Darishanam|ఆదియ పాద దరిశయనం
Adiya Padattai|అదియ పడత్తయి
Adiya Padattait Tarum|అదియ పదదట్ తరుం
Adrisutavara|ఆిసతవవర
Adugu daati|అదుగు దతి
Adum Cidambaramo|అదఁ చిదంబరమో
Adum Deivam|అదఁ దీవిఁ
Adum Varai Avar Adattum|అతుం వరై వార ఆడతుం
Agaramumaagi (tiruppugazh)|అగరుమాగి (తిరుప్పపుగజః)
Agastishvaram Aradhayeham|అగసతిష్వరం అరధయేహమ్
Ainkarane Omkara|ఐంకెనే ఓంకారా
Ainkaranillamal|ఐనకరీంలమల్
Aiyappanai Panivom|ఐయ్యప్పనై పనీవోమ్
Aj Aye|అజ యే
Ajam haram|అజమ్ హారం
Akhila Devanuta|అఖిల దేవనుత
Akhilaanda naayaka|అఖిలం నయక
Akhilaandeshwari|అఖిలనాండేశ్వరి
Akhilanda Nayaki|అఖిదండ నాయకి
Akhilandeshvari Durusuga|అఖిలదేశేశ్వరి దురుసుగ
Akhilandeshvari Raksamam|అఖిలదేశేశ్వరి రాక్షసమం
Aksaya Linga Vibho|అకసయ లింగ విభో
Alai Paayude|అలలై పాదయాడె
Alai paayude|అలలై పాదయాడె
Alaiyaamal paarumayyaa|అలలైయమల్ పామరమయ్యా
Alakalalla|ాలకల్ల
Alalagada|మలగడ
Alarsara|అలరసార
Alaru kuriyaga|అలఱు కురియగ
Alavani Nammarade|అలవని నమ్మమరిదే
Alavillaiye|అలవిల్లించె
Aliveni|అలివేణి
Aliveni Enduceyyum|అలివేణి కాటేసేయఁ
Allakallolamayenamma|అల్లాకలోలమయ్యెనమ్మ
Amaaya karunaa|అమయ కరుణా
Amarikapari (geetam)|అమరికాపరి (గీతాచారం)
Amba Mahavani|ంబ మహావాణి
Amba Mamava|ంబ మమవ
Amba Manam|ంబ మన్నం
Amba Nadu Vinnapamu|అంబా నాడు విన్నపము
Amba Nilayataksi|అంబా నిలయతక్సి
Amba Paradevate|ంబ పరదేవతే
Amba Sarasvati|ంబ సరస్వతి
Amba Shri Rajarajeshvari|అంబా శ్రీ రాజరాజేశ్వరీ
Amba Vani Nannu|అంబా వాణి నన్ను
Amba naadu|ంబ నదు
Amba neelaambari|అంబా నీలాంబరి
Ambaa alankaari|అంబా అలన్కారి
Ambaa mahaavaani|అంబాని మహావాహిని
Ambaa vaani|అంబా వాహిని
Ambikam Upaseham|అంబికమ్ ఉపాశేషం
Ambike Arul Shei|అంబికే అరుల్ షీ
Amboruha Padame|ఆంబోరుహ పద్మే
Amboruha Padame-varnam|ఆంబోరుహ పద్మే-వర్ణనమ్
Amboruha paadame|ఆంబోరుహ పాధమే
Amboruha paadame (varnam)|ఆంబోరుహ పాదమే (వర్ణం)
Amma Ananda-varnam|అమ్మ ఆనంద వర్ణం
Amma Nannubrovave|అమ్మ నన్నుబ్రోవవే
Amma Ninnu Korina|అమ్మ నిన్ను కోరినా
Amma Ravamma Tulasamma|అమ్మ రావమ్మ తులసమ్మ
Amma dharma samvardhani|అమ్మ ధర్మ సంవర్ధని
Amma nannubrovave|అమ్మ నన్నుబ్రోవవే
Amma raavamma|అమ్మ రావమ్మ
Ammaa unnaiye|అమ్మమ్మా ఉన్నాడె
Anaatharakshhaka|అనాత్ాత్రష్హక
Anaathudanu gaanu|అనాాను గానూ
Anagha shambho|అనఘా శంభో
Anagham akhilaanda|అనగఘం అఖిలాండ
Anajaksa Ninne Nammiti|అనజక్స నిన్నె నమ్మితి
Ananda Natam Aduvar|ఆనంద నటము ఆనువర్
Ananda Natana Prakasham|ఆనంద నటనా ప్రకాశం
Ananda Sagaramidani|ఆనంద సాగరమిదని
Anandabhairavi Anaiyum|ఆనందభైరవి అనైయాం
Anandak Kuttadinar Ambalam|ఆనందక్ కుతాదినార్ అంబలం
Anandamaya Manave|ఆనందమయ మనవే
Anandame Paramanandame|ఆనందమే పరమానందమే
Anandamrtakarsini Amrtavarsani|ఆనందార్తకర్షిణి అమృతావరసని
Anandavalli Kuru|ఆనందవల్లి కురు
Anandeshvarena Samraksitoham|అనన్దేశవర్తేన సమీరసితోహమ్
Ananta padmanaabham|అనంత పద్మనాభమ్
Anatharakshhaka|అథిరషష్హక
Anathudanu Ganu Rama|అనాత్తుదను గంజు రామా
Anbilaiye|అన్బిలైయే
Anbirundaale podum|అనబిన్దాలే పోదుమ్
Anbon Annaiye|అంబోన్ అననైయే
Anbon annaiye|అంబోన్ అననైయే
Anbu Kondennai|అన్బు కొండెనై
Anbu varam|అన్భు వరం
Anbu vellame|అనభు వెలమె
Anda Rama Saundaryam|నంద రామ సౌందర్యం
Andaal kalyaanam|అండాళ్ కల్యాణం
Andarulvai|ందారులవై
Andavan Anbe Shakti|అండవన్ అంజే శక్తి
Andavan Darishaname|అండవన్ దరిశమే
Andavane Sharanam|అండవనే శరణం
Andavane Unai|అండవనే ఉనాయి
Andhakaasura|అంధకాసురుడు
Andolikavahane|అంధోలికవాహనే
Andundaka ne vega|అందుక నే వేగ
Aneeshvaram|అనీశ్వరం
Anekaathmane|అనెకాత్మనే
Angaaraka mangala|అంగారక మంగళ
Angarakam Ashrayami|అంగరకం అష్టమీ
Angayarkkanni Niye--varnam|అంగయర్కణ్ణని నియె--వర్ణనమ్
Anjaade nenjame|అంజాదె నెన్నజమే
Anjade Nenjame|అంజాదే నెన్జమే
Anjalaamo nenje|అనజలమో నెన్నజే
Anjaneya|ఆంజనేయ
Anjezhuttinai nenjile|Anjezhuttinai నెంజలే
Annaamalai appane|అన్నామలై అప్పనే
Annai Janaki|నై జానకి
Annai maakaali|ఆన్నై maakaali
Annapoorne vishaalaakshi|అన్నాపూర్నే విశాలాక్షి
Annapoorneshwari|అన్నాపూర్ణేశ్వరి
Annapurne Vishalaksi|అన్నపూర్ణనే విశాలాసి
Annapurneshvari Akhileshvari|అన్నపూర్ణేశ్వరి అఖిలేశ్వరి
Antaa raamamayam|అంతా రహమయం
Antaranga Bhakti|అంతర్గంగా భక్తి
Antaranga bhakti|అంతర్గంగా భక్తి
Antari Sundari|అంతరి సుందరి
Anudinamunu Kavumayya|అనుదానామును కవనుమయ్య
Anudinamunu kaavumayya|అనుదనిమును కావుమయ్య
Anupama Gunambudhi Yani|అనుపమ గుణంబుధి యని
Anupama gunaambudhi|అనుపమ గుణాంబుధి
Anuraagamule|అనురాగములే
Anuragamuleni Manasuna|అనురాగములేని మనసున
Anyaayamu seyakuraa|అన్యాయము సేయకుర
Anyayamu Seyukura Rama|అన్యము సేయుకురా రామా
Apadooruku lonaitine (jaavali)|అపాడోరుకు లొనటైన్ (జావళి)
Aparaadhamula norva|అపరాధముల నొవ్వ
Aparaadhamulamaanpi|అపరధములమాఁపి
Aparaadhamulanniyu|అపరధములన్నియు
Aparaadhiyagu naadu|అపరధియాగము నాదు
Aparaadi naanalla|అపరఆది నాణెల్లా
Aparaajite|అపరాజితే
Aparadhamula Manpi Adukovayya|అపరధమ్ముల మనపి అడ్డువయ్య
Aparadhamulanniyu|అపరధములన్నియు
Aparadhamulanorva Samayamu|అపరధములనోర్వ సంయము
Aparajite Amareshanute|అపరాజితే అమరేశనుతే
Apavarga pradam|అపవర్గ ప్రదము
Appa Murugayyane|అడపా మురుగాయె
Appa Ramabhakti Yento Goppara|అడపా రామభక్తి యెతో గోపపర
Appa Unai Maravene|అడపా ఉనై మరవలేనే
Appa raama bhakti|అడపా రామ భక్తి
Appaa murugayyane|అప్పా మురుగయనే
Appaa un ponnadi|అప్పా ఉన్ పొన్నాడి
Appan Avataritta|ప్పన్ అవతారమిట్ట
Appane|అప్పనే
Appuleni samsaara|అప్పులనేని సంసారసార
Apudu Manasu|అపుడు మనసు
Apudu manasu (jaavali)|అపుడు మనసు (జావళి)
Aradhayami|ారధయామి
Aragimpave Palaragimpave|గట్టంపవే పలుఅరమింపవే
Aranamum Agamum|అారణముఁ గనుం
Aravinda Padamalar|అరవింద పదమలర్
Ardhanarishvaram Aradhayami|అర్ధనారీశ్వరం ఆర్యాధయామి
Arivar Yar Unnai|అరివర్ యార్ ఉనాయ్
Arivar Yar Unnai Arivar|అరివర్ యార్ ఉనాయి అరివర్
Arivudaiyor|అరివవెయర్
Arjuna Sarathim|అర్జున చరితియం
Arukku Ponnambalan|అరకు పొమ్మనబాలన్
Arukkum Adangada|అరుకకుఁ అడంగడ
Arukkut Tan Teriyum|ఆరుకుట్ టాన్ టెరియమ్
Arul Puri Ainkarane|అరుల్ పురి ఐనకారనే
Arul Seyya Vendum|అరుల్ సేయ్య వెందుం
Arul paarayyaa|అరుల్ పామరయ్యా
Arul purivaay|అరుల్ పురివైయ్
Arul seyya vendum|అరుల్ సేయ్య వెందుం
Arula Vendum|అరుల వెందుం
Arulvaay|ారుల్వే
Arulvai Angayarkkanniye|అరులవై అంగయర్కకన్నియె
Arulvay|ారుల్వయ్
Arumukha Adimaiyai|అరముముఖ అదిమైయై
Arunacala Natham Smarami|అరుణచల నాథమ్ స్మరామి
Arunodayame-varnam|ఆరినోదయమే-వర్ణనం
Aruviyaippolum|అరువియైపొపోలమ్
Aryadevi Amareshanute|అరియాదేవి అమరేషణుతే
Aryam Abhayambam Bhaja|అర్యం అభయమ్బమ్ భజ
Ashaindaadum Mayil|అశ్వనిదాసుడఁ మయిల్
Ashaindaadum mayil|అశ్వనిదాసుడఁ మయిల్
Ashhtaadasha supeethastite|అష్టాదక్ష సుపీతసాటైట్
Ashtadasha Supeethastite|అష్టాదశా సుపీతసటైట్
Ashtamurtim|అష్టమూర్తిం
Atade dhanyuduraa|అట్లె ధన్యుదుర
Ati sundaram|టి సుందరం
Atishaya Vara|అతిషయ వర
Atishaya vara|అతిషయ వర
Atma Nivedanam|త్మ నివేదాం
Atta balukudu|అట్టా బలుకుడు
Attaa arulillaiyo|అత్తా ఆరులిల్లైయ్యో
Attarunam Abhayam|అత్తారుణం అభయం
Atu Karadani Palka|తు కరదానీ పల్క
Atu kaaraadani|తు కతరదానీ
Avan Seyal Anri|అవాన్ సేయల్ అన్రి
Avataram Cheydiduveere|అవతారం చెలిడిదువేరె
Avataram Enduku Ayasam|అవతారం ఎందుకకు అయసం
Avyaja Karuna Kataksi|అవ్యజ కరుణ కటాసి
Aya Kalaikkellam|య కాలైక్కెల్లం
Aye Giridhar|యే గిరిధర్
Ayiram Ayiram Gopiyargalodu|ఆయురం అయీరం గోపియర్గలోదు
Ayya Guruvarya|య్య గురువరేణ్య
Ayyane Un Menmaiyai|అయ్యనే ఉన్ మెమైయై
Ayye Mettakkadinam|అయ్యె మెట్టిక్కటినం
Azhaga Azhaga|అాహగ అాహగ
Azhagu Deivamaga Vandu|అహాగు దీవముగ వందు
Baagaayanayya|బగాయనయ్య
Baala Sarasa|బయల సరస
Baala gopaalakrishna|బానల గోపలకృష్ణ
Baala sarasa|బయల సరస
Baalaa gopaala krishna|బయాలా గోపాల కృష్ణ
Baalalocana|బయాలలోచనా
Baalasubramanyam|బయలసూబ్రమన్యం
Baale baalendu|బలె బయల్ేందు
Baale paripaalisau|బయలే పరిపలీసౌ
Baaro krishnayya|బారో క్రిష్నయ్య
Badalika deera|బడలిక దీరా
Badalikadira Pavvalincave|బదలీకదిర పవళిన్గుహ
Bagayanayya Ni Mayalento|బాగయ్యనయ్య నీ మాయలనెతో
Bagu Miraganu|బగు మీరాగానూ
Bala Pahi Vasudeva Devaki|బాలా పాహి వాసుదేవ దేవకీ
Balagopala Palayapankajanayana|బాలగోపాల పాలయపవనకజనయన
Balagopala Palayashu|బాలగోపాల పాలయశ్శు
Balakrisnan Padamalar|బాలక్రిష్ణ పదమలర్
Balakrsnam Bhavayami|Balakrsnam భవయమి
Balambikayah Param|బాలంబికాయః పరం
Balambikayai Namaste|బాలంబికాయై నమస్తే
Balambike Pahi|బాలాంబికే పాహి
Balamu Kulamu Yela Ramabhakti|బలము కులము యెల్ల రామభక్తి
Balamu kulamu|బలము కులము
Balasubramanyam Bhajeham|బాలసుబ్రమణ్యం భజేం
Balasubramanyan Padame|బాలసుబ్రమణియన్ పద్మే
Bale Balendu Bhusani|బలే బాలెందు భాసాని
Bale Paripalisow|బలే పరిపాలిసోయి
Balumosa mayyanuraa (daru varnam)|బలమోస మయయనుర (దరు వర్ణము)
Bandadellaa barali|బందదేలక బరలి
Bandhamu seyaraadu|బంధము సేయనారదు
Bantu reeti kolu|బంటు రీతి కొలుపు
Banturiti Koluviyavayya|బతురితి కొలనువియ్యవయ్యా
Bhaagyada lakshmi baarammaa|భుగ్యద లక్ష్మి బరమమ్మా
Bhaagyavati neene hari manohari|భాగ్యవతి నేలేనే హరి మనోహరి
Bhaaramaa ee baaluni|భావరా యీ బయలముని
Bhaaramellaam vaitten|భరమెల్లం వైటెన్
Bhaaratiye|భారతియే
Bhaavaiyaami|భవానియామి
Bhaavamulona|భవములలోన
Bhaavayaami gopaalabaalam|పవళయామి గోపలాపాళం
Bhaavaye parama gurum|భవయే పరమ గురుం
Bhaavaye saadaram|భవయే సಛరం
Bhadrakaali namostute|భద్రాళి నమోస్తుతే
Bhadrakali Namostute|భద్రకాళి నమోస్తుతే.
Bhagala Deviya|భగళ దేవయ్య
Bhagalaa deviya|భగళా దేవాయ
Bhagavathe rudraaya|భగవ రుద్రాయ
Bhairavi Parameshwari|భైరవి పరమేశ్వరి
Bhairavi parameshwari|భైరవి పరమేశ్వరి
Bhaja Bhaja Manasa|భజ భజ మానస
Bhaja Madhavam Anisham|భజ మాధవం అనిషం
Bhaja Manasa Shri Vasudevam|భజ మానస శ్రీ వాసుదేవం
Bhaja Manasa Vighneshvaram|భజ మానస విఘ్నేశ్వరం
Bhaja Ramam Satatam|భజ మం సతతం
Bhaja Satatam Raghuviram|భజ సతతం రఘవీరం
Bhaja bhaja maanasa|భజ భజ మనాస
Bhaja maanasa|భజ మనాస
Bhaja raamam satatam|భజ రమం సతతం
Bhaja re raghuveeram|భజ రీ రఘవీరమ్
Bhajaamyaham|భజాంయహమ్
Bhajamahe Shri|భజంే శ్రీ
Bhajami Sada|భజామి సదా
Bhajana  seya raadaa|భజన సేయ రదా
Bhajana Parulakela Dandapani Bhayamu|భజన పరులకేల దండపాణి భయము
Bhajana Seyarada|భజన సేయరాదా
Bhajana Seyave Baguga|భజన సేయవె బాగుగ
Bhajana Seyave Manasa|భజన సేయవె మానస
Bhajana parula|భజన పరుల
Bhajana seyave|భజన సేయవే
Bhajana seyu margamunu|భజన సేయు మార్గమును
Bhajanai Sheivai|భజనై షేవై
Bhajanaseya Rada|భజనచేయ రద
Bhajanaseyu Margamu|భజనసేయు మార్గంబు
Bhajare Bhaja Manasa|భజనే భజ మానస
Bhajare Manasa|భజనే మానస
Bhajare Manasa Shri|భజనే మానస శ్రీ
Bhajare Raghuviram|భజనే రఘువీరం
